Black,"I've purchased Mosiso cases before, and I only have one complaint.They're so snug on your computer, it's difficult to take off to replace. I've been using the same purple one for years until it got too dirty to maintain any longer. Though the bottom case slid off with ease, the top is sticking to my computer like glue. However, I've managed to remove the case before and I know I can do it again, just with some effort.Other than that, I've had no problems with the protection of my computer. I dropped my computer on my hardwood floor once (from quite high up, too) and my computer suffered no damage using a Mosiso case. The only damage from the fall was a small chip in the side of the case, which barely affected its use. I'm not saying these cases are made to protect from falls, but I'm saying that they are good for their price and they do a good job of protecting from scratches and minor blows. I'd definitely recommend this product to those looking for a light, good-looking case."
Marsala Red,"I've had this case on my laptop for almost a year, and it still looks new. It was very easy to ""install"". It doesn't add a lot of bulk, and it's got a nice feel. There are two reasons why I didn't give it 5 starts though. First, the rubber stopper sticker feet don't stay on. I'm pretty sure there were extras, but who knows what I did with them? Anyway it slides around on my cheap laptop fan thingie. So I wrapped a headband around the cooling pad. It helps a little. The second thing is that I've worn holes through several of the keys on the keyboard cover. Plus it won't stay put, keeps wanting to move around. Time to replace it. Other than those kinda petty things, it's been a great purchase. Would buy again, but it looks like I won't have to for quite a while."
Brahmin Blue,"I bought one of these in a different color about a year ago and recently I dropped my MacBook and it broke.  Saved the computer....thank you!  Then I ordered this color.  For some reason it didn't fit as well.  The cover didn't snap on as easily as the one previously purchased and the keyboard cover was almost too big......So, I scheduled a return.  Sigh.  Then I got busy and the return seemed a hassle.  I received a personal email from the company asking what they could do to help me have a better experience, which was really nice and a month later, I am getting around to this review.  I gave 4 stars because of the initial fit, but now, either I am used to how it fits, or it has molded to my laptop and keyboard.  All in all, I don't think you can go wrong with this product.  Long/short, by waiting before I returned it, it seems to have fitted itself."
Rose Gold,"Overall I like this case and would probably give it more around a 3.5/5 stars. It looks nice and fits perfectly. The screen protector fits nicely and went on pretty easily; there were only a couple of bubbles that I couldn't get out due to a couple of specks of dust. The keyboard protector takes some getting used to because it is stickier than the regular keyboard, but I live in the dusty, sandy desert and appreciate how well it is protecting my keyboard. For such a lightweight item, it definitely does add a lot of weight to my MacBook Air. It is also pretty uncomfortable where my wrists/lower arms rest on the edge of the laptop. I feel like if I keep this case on, I will need to buy some sort of padding to put over the edges."
Airy Blue,"Somewhat jagged edges, as to be expected from such a cheap case, but fits remarkably well! The measurements are perfect and it doesn't move at all. I'm not a huge fan of the keyboard cover and mainly just use it to help prevent dust, bc it's VERY hard to type with. You have to press your fingers down SUPER hard. But overall I'd definitely recommend this, especially for the price! And the Carolina blue color is super beautiful!"
Camel,"Highly Recommend! I don't usually write reviews but I just loved this case. I couldn't believe that $14 could get me a computer case, keyboard cover, and a screen protector. The keyboard cover is pretty, but when I have a lot to type up (ex. school), it can get a little bothersome so when I have a lot to do, I just take off the keyboard cover. Other than that, I do keep the cover on. The screen protector has easy installation but I don't know how effective it would be in the case that I drop my laptop. The computer case itself is such a beautiful color (I got the shade ""camel""). I thought that it would be lighter, like how the images showed, but it ended up being darker than expected. However, this color I think is far prettier and it seems as though it can handle stains. After using it for about a week, the case is still pretty clean with no noticeable marks. FYI: I carry my laptop around with me EVERYWHERE. I only didn't give it a full 5 stars because of the keyboard cover. Oh, and if you decide that you want to take the case off, it'll take some effort as it is well on."
Deep Teal,"It was delivered in great condition and the Deep Teal color is exactly what it looked like on the website. It came with extra feet for the bottom and everything fits properly. The top feels nice and the Apple logo still glows through it clearly. The keyboard cover is cut well, but unfortunately the letters aren't cut out so you can't really get the most out of your backlit keyboard. It took me a little bit to get used to typing with it and it sometimes sticks a little, but I think that will go away with time (and more practice). I didn't put the screen protector on it, so can't really give you any help with that. Overall, very happy with my purchase!"
Marsala Red,"It has a really nice and simple aesthetic to it, and is serving it's purpose nicely. I do not expect it to protect the laptop fully if it were to go down with the case on it, after all, it is only hard plastic and not really designed to protect from drop damage. However, it works well in the sense that it is protecting the outer layers of my laptop, including the screen & keyboard, which were nice additions.The only reason I have one star taken off is because the bottom piece of the case, with the base, does not seem to fit properly and fully on the laptop itself. The right side of the case towards the track pad area simply will not click and go down all the way, leaving a slightly raised lip and unhatched corner of the case. I do not think it is me doing it wrong, because I have tried multiple times to put it on correctly, and it just won't go."
Mint Green,"Everything fit nicely. The keyboard cover has a nice color and it also doesn't smear and get on my fingers like my previous keyboard cover did. The quality of the case itself is appropriate for the price, which is more than enough for me as long as it provides protection. I like how the case itself is see through so that the beauty of my decals is visible but if you are not careful, the plastic of the case can break or crack easily. Only problem I had was the screen protector, which is nearly impossible to apply without getting dust or air bubbles on it; it bothered me so much that I discarded it after using it for less than a day. Don't bother with the screen protector and just buy the hard case and keyboard cover combo."
Rose Quartz,"Had issues with speck case fitting properly, it was so overstretched it would crack in a day, last speck case lasted 3 years, so decided to try Mosiso case for my kid's air due to the good reviews.The Mosiso works well, fit on without a lot of fuss once I figured out the top orientation (so it is not undersized like speck's case).Quality though is slightly off, with some plastic flashing (excess plastic during mold process) not properly trimmed in a few spots (easily fixed with a utility knife, exacto knife, or razor, but you shouldn't have to do this.Overall fit is good, though the top cover front snaps don't always stay in position, but do hold in place.I will say that there is a lack of info on how to install this, the bottom is pretty intuitive, but the top isn't.  And the photo provided as part of the item description doesn't help with which is the front or back of the top cover."
