Gray,The product arrived on time and it really looks nice on my mac. But there are few things which didnt went well.1. The top and bottom cases are having lots of circle patches on the inner side. I tried cleaning with a wet tissue and no luck getting rid of them. Also there was lots of duat and few scratches on the inner sides of the cover. I get rid of the dust and the scratches are not visible from outside. So it looks good but not satisfied.2. There are no instructions in how to place the top case. I just tried my luck and the second time it was in place.3. The keyboard cover is having nail marks or pinch marks or whatever. Photo attached. Look at the eeturn and delete keys. Also the keyboard cover is little loose to the right side. Seems like somebody stretched it to the right and messed it up.Overall not satisfied with a simple product like this.
Marsala Red,"I already owned one Mosiso cover, and it was great. But after a while, I decided to buy another one because my white one was starting to look dirty and wouldn't really come clean. Plus, this deal came with a keyboard cover and screen protector -- what a great value, right? Not so much. I've only had it a few weeks, and it REFUSES TO STAY ON! It came with these tiny black specks that I couldn't get off, and I was willing to deal with that, but now every fingerprint is visible and won't wipe clean, making my computer look like a grease covered wildebeest owns it. I'm going to have to replace it with something else. The only reason I give this two stars instead of one is because the keyboard cover is great, functions exactly as it should."
Brahmin Blue,"BRAHMIN BLUE was a Pretty color but I was expecting it to be a little more see through and frosty. Its very Opaque, though you can see the apple logo when its turned on. I do like the color and would have kept it BUT this particular one did not fit my 2017 MacBook Air the bottom part did not snap on one side and there was a blemish on the keyboard cover-looked like a piece of pepper. Im returning this one. I ordered the MINT green and it fits perfectly."
Frost,"I had the Mosiso cover before and was quite happy with it. Not this time.... The keyboard cover is plastic-y. The first one I boughtwas such soft plastic that it molded to the keyboard perfectly. This one doesn't lay on the keyboard snuggley at all. Slides around.The top cover fits fine, the bottom is loose on the corners.Very disappointing, would not purchase this again. I scoured all the different covers before I purchased this. I will order anotherfrom a different company. I do love the clear case. That's the only positive thing I can say about this cover."
Marsala Red,"This is the second ""cheap"" case from Amazon I've ordered, and it's just not worth it. From two different brands, they both didn't fit properly (I double checked the model number with the case both times before ordering). It makes a weird clicking sound when you open and close and it doesn't allow the laptop to close all the way. My mother and sister ordered more expensive ones and it seems worth it, there's are both quality (seem like they'll actually protect it unlike this thin piece of plastic casing) and didn't have to go through the process of returning, which I'm now doing twice. Honestly wouldn't recommend, just spring for the better quality ones even if it is a little more expensive."
Marsala Red,"This case is OK. Not great, not awful. I love the color. Looks just like the picture. I am not a fan of how difficult it was to apply the screen protector. The keyboard cover is incredibly useful, but it does take some getting used to because it will bubble up from time to time, but it's not too annoying. Now I prefer to use the cover over not using it. Removal of the keyboard cover is so easy. What isn't easy is removing the polycarbonate case to clean the laptop. The second time I did it the whole case cracked in half. Luckily Amazon was incredibly helpful in giving a refund so I could purchase a different case. I'm grateful they did that because if we're being honest here, a case should last for longer than a month."
Marsala Red,"I got what I paid for. Spend the few extra bucks and nicer Hard Case and screen cover. The case & cover work. The screen cover is about an 1/8 of an inch too small.  Also, it was very difficult to put on. I have put on several screen covers before. The hard case snapped on fine. The keyboard cover seemed a little flimsy. Plus, one of the keyboard cover symbols do not match the MacBook Air keyboard. The cleaning cloth they give you is a very thin piece of felt. It is very stiff and scratchy."
Marsala Red,"The case is fine, but it seems the screen protector can actually damage the screen and I would not recommend it to anyone.  I applied the screen protector according to the instructions and found bubbles and permanent ""hair-like"" blemishes in the screen, both of which persisted after I removed the ""protector"".  The screen of my Macbook Air is now permanently damaged thanks to this product.  Not cool.  Again, the case and keyboard cover are fine, but the screen protector may actually damage your screen."
Peacock Green,"While the shell itself is a nice quality and color, the fit of the shell onto the laptop was terrible.  It took nearly an hour to clip the top shell (for the side of the computer with the apple on it) onto the laptop, and in order to do that, I had to shave down the clips with a nail file.  The top shell is also supposed to have 3 clips on one side (to clip onto the top of the computer where the camera is) and two clips on the other side (the bottom) and the case I received only had 2 clips on either side.  I had no problems putting on the bottom shell, but the top shell fit so poorly that I will not be buying another item from this company for a long time."
Frost,The product looks good on my MacBook but won’t stay on! The top cover pops off every time i open my laptop. Literally will not stay on so I’m just not using it at all to protect the top of the machine. I would strongly suggest getting something that better fits and stays on your machine. Pass on this.
Clear,"I liked this product intially because it is the clearest case I could find. There were no finger smugges and it just had a nice feeling to it. However, with very light use over the course of a few weeks, the bottom case has multiple cracks. I have not dropped the case, nor do I slam it around. I was kind of disappointed in that because I have had other cases and the last lasted me over a year. I would not recommend."
Deep Teal,"Top Snapped on nicely, and the keyboard cover is okay. Its not too rubbery, but it did have a smell to it that I hope will dissipate. What has me irked is the bottom. The bottom case was too small by a the tiniest fraction, but big enough that it won't go on the computer. I will likely return this case. Really disappointed."
Royal Blue,"The case itself is alright and good for protecting from scratches, but within the first few days of me owing this product I have faced a few complications. Firstly, I thought I ordered peacock green and red, but royal blue and red came in the mail. That may be a mistake on my part, but despite the color within a day or two I had unremovable stains on both of my cases. Fingerprints are still on the case and although I understand the case cannot be stain proof, but the stains came very easily. The protective case had way too manny bubbles in it and after trying hard to take them out with the flimsy card i gave up. Overall the product is not horrible I just wish it wouldn't stain so easily. The rubber feet and keyboard cover are very useful."
Marsala Red,"Ordered two cases for a 13in Macbook Air (Model A1466). The Marsala Red arrived with too small an upper panel, and the other (Wood Grain Texture) arrived with the tiny notches that hold on the bottom panel broken off. The Marsala was clearly some kind of packaging error, since the bottom panel is the right size, but the plastic tabs on the bottom panel  of the Wood Grain-- designed to grip the rear of the Mac's base-- are a design issue. The tabs are just too small and brittle-- there was no apparent damage to the packaging-- the damn things had just snapped off.2 cases, ordered and arrived together, and neither were operational. Boo."
Transparent Black,"it is about a few millimeters small. this is the 3rd such case I have purchased for my macbook air 13"" model 1466. and almost always it breaks after a few weeks! the other 2 cases I bought were from suzy and some other brand. it had the same issues! see attached pics."
Black,"I didn't end up liking this - it just made my computer bulkier and (knock on wood) I don't think I'm at risk to scratch up the entire front of my computer. BUT if you've had a case before OR you are carrying your computer into a woodworking shop, this is a pretty good case for a pretty good price."
Rose Quartz,"It's a nice color, and I like that it comes with a matching keyboard cover. However, as a college student I made this purchase because I simply wanted to protect my laptop when I took it to school in my backpack. I've owned a couple other hard covers in the past and they usually lasted about a year before they began cracking and breaking. In this case it lasted only a matter of days before the grips on the bottom peeled off, and only a couple weeks before the case itself started cracking and the hooks to secure it onto the laptop broke off. It's very flimsy and obviously meant more for show than for protection. I'm disappointed...looks like I'll invest a couple extra bucks next time for a better quality case. It's too bad because I really loved the color of it."
Marsala Red,"First - I LOVE the color of this case (Marsala Red). It is a beautiful shade of red! However, the keyboard cover is not the same color as it has almost a purplish hue.Second - the top cover fits fine, but the bottom cover does not properly attach to the laptop with a gap just below the trackpad. I am concerned about how long until the bottom cover will crack.After reading the reviews (before purchasing) and seeing it first hand, there seems to be gross inconsistency in their manufacturing process. I was a bit concerned about the range of ""loves"" to ""stay away from"" reviews but decided to risk it. Maybe the difference depends on what color you order?"
Airy Blue,"I have bought many cases from this company in the past and absolutely loved them! I was so bummed when this one did not work out.The case itself was good quality and very pretty! The bummer was that the top portion of the case that I received was not for my size computer, but for a 15"" mac book (I ordered the 13""). The bottom, screen protector, and keyboard cover fit perfectly.I kept the product because I decided I would just keep the top of the last case I ordered (same color--just needed to replace the bottom portion because I dropped my computer and cracked it). I'm giving the product a low rating because the incorrect size was sent however."
Rose Quartz,"Three of the white feet pads have come off so now I only have one.  So now the laptop rocks and slides when using on the desk.  It's only been three months, and I  believe Mosiso lifetime warranty on rubber feet.  Just not sure how to proceed yet, but writing my review for now."
Rose Gold,Good for the money you spend. Definitely made cheap. I would have been a lot happier if the keyboard cover matched up there symbols to the key board - once it is I would say maybe half is lined up and the other half is off which makes it annoying when your trying to look for a certain button on the keyboard. Also I couldn't get the screen protector to get on my screen without leaving a million tiny bubbles that would not come out. I've never used a screen protector that was that difficult to put on. I finally gave up after over an hour with no luck. The laptop cover itself is staying up pretty nicely so far. Guess that's what I get for buying quick and cheap!!
Rose Gold,"Previously bought the turquoise and LOVED it, but the Rose Quartz is a different texture. My turquoise was a super soft almost rubber like texture, and the rose gold feels like rough, just got done spray painting it :( Plus this one does not have the four slip resistant tabs on the bottom like all the other colors do. Will be going back to a more solid color!"
Marsala Red,"I was so excited for this case because it was beautiful and I've had a similar one in black. I had the hardest time putting the case on, I followed directions and I've had the same cases before and never had any problems. It kept popping right off. I would open my bag and there was the front of my case, not on my laptop. It happened at least everyday. I kept popping it back on over and over again. This morning when popping it back on, the clips on the sides that holds it together just snapped right off. So disappointed with product. I thought I was applying it on the wrong side or something and I tried everything, still just popped right off. I'll have to put my black one back on. I had it for a year with no problems."
Clear,The case was fine. Not great. You can see some of the indents where it supports the laptop quite clearly. Looks bulky and ugly but fine for anti scratch. The keyboard case that came with it is the worst case that I have ever seen in my life hands down. This product should not advertise that the keyboard case is included because of how pathetic it is. Its like saying your new iPhone comes with a screen protector when its actually the protective case that should be peeled off before use. I hate it when things are wrongly advertised such as this. I hope the person who designed the case jumps off a cliff
Marsala Red,The case fits perfectly and seems pretty durable but the coloring was different than the picture. The Apple in the picture is white and clear on the product photo but it's pink on my actual computer. I'm assuming that all of the cases are going to have a discolored Apple because the entire case is one color and the Apple basically shines through the case and can be discolored.
Deep Teal,"Very inconsistent product. It seems like these aren't made very carefully at all. Mine fits perfectly over the keyboard and the bottom of my MacBook Air, but the top has never fit in place. The right bottom clamp seems to be just off enough to prevent this, meaning it is constantly popping off, especially after I retrieve it from my bag.The price point was, indeed, too good to be true. Next time I'll spend a bit more for something better."
Black,"I wasn't expecting this case to be great for $11, but I was pretty disappointed. Main issue is that I ordered black (not jet black- I wanted matte) but the case is not opaque and looks completely gray once it's on your laptop, not at all like it does in the image for black. Additionally, one of the corners was slightly cracked, and overall, it just don't come as high up on my laptop as I would like- it feels like it doesn't protect the corners at all, which was the main reason I wanted a new case (the corners on my old Speck case were completely cracked and let my laptop corners get pretty beaten up)."
Frost,Case and keyboard cover are great but the screen cover was extremely difficult to put on without looking horrible.  Contacted customer service which was supposed to send me a replacement but received nothing
Marsala Red,"I got this computer case in the mail and I was very excited to see that it was the color I wanted. However, within about 3 weeks of getting it, the plastic case started to crack. I keep my computer in a tight sleeve to protect things like this from happening, but it did not seem to work. The plastic material is not well made at all. I am very disappointed in this product."
Camel,"It was okay for the first few months (I bought in july). Honestly, after the first week. The silicon typing cover lost color in the places I ""tapped"" on the most. I didn't mind, because I figured that was inevitable. However, after a while one of the white ""pegs"" from the bottom laptop cover piece fell off-- and a few weeks ago another one fell off. And today, another one fell off. So 3/4 of the pegs have fallen off. I think that is okay for the price... but maybe buy one that is 2Xs the price and it won't fall apart on you."
Marsala Red,"The color and look of the case are really good. The issue that I have is, once you touch it, you have fingerprints that are extremely hard to get off. God forbid you put lotion on your hands and eventually touch the case. You'll be stuck with fingerprints until you manually remove the case from the computer and wash it with soap and water. If you use cleaning wipes or computer wipes you'll be stuck with big smears across the case. Great color, but not a great product. I'm going to have to order a different case from a different vendor/brand."
Mint Green,Things that make it 'meh': Didn't realize this was more on the transparent side so the 'mechanics' of the clips show through on the front cover.  Keyboard cover muffles the sound so I'm not going to keep it on. There are some weird tiny gritty bits scattered on the front cover near 3 of the 4 edges so you can't not feel them when opening and closing the computer -- these bits don't want to come off either. The case did go on nicely but now the bottom piece is popping off near the track pad. Bummer. Going to return.
Rose Gold,"The paint job was very patchy, the apple icon barely showed through, and the case just didn't fit well. no matter how hard I tried to snap the case, it wouldn't attach to all areas. I ended up getting another case promptly.I wouldn't recommend"
Camel,"Loved the camel color. Shipment was fast. However, it was missing the keyboard cover and screen protector. So it's going back. Disappointed because the camel was such a nice color."
Rose Quartz,I got this case for my laptop because it had good reviews and was the right price. After 2 months of having it on my laptop the cover pops off the top. My laptop stays closed and in a sleeve when it's not in use and it doesn't get manhandled or anything so I was a little surprised at how quickly the cover stopped working. All the little clips on the cover are still intact so I'm not sure if mine was defective or what. I really liked the color and the bottom cover it still on. However the keyboard cover was a little loose and it made it hard to type with it on. I had to remove it. Pretty disappointing.
Airy Blue,"The top of the case and the keyboard protector work well, but the bottom part of the case does not fit correctly. I have it clipped on, but it is loose and slides around. It makes me very nervous that I will accidentally drop my laptop because of how loose the case is. I will be purchasing a different and better made case because this one was a waste of money."
Navy Blue,The bottom plate didnt fit on mine and after emailing customer service back and forth for 3 days I gave up and just returned it. Not happy with them.
Marsala Red,"I loved the color, which is exactly as shown. I would NOT recommend this product because it did NOT fit. The bottom fit fine, but the top does not fit at all. Also, the rubber circles on the bottom of it fell off in a couple of weeks. I had the exact model number that was listed -- I triple checked before I ordered. Very disappointed. The only reason I gave it two stars is because I love the maroon color."
Gray,"sticker from the bottom of the cover came out after 2 weeks. Not very protective and also it has been cut very well since some edges are very sharp and it was hard to fit the laptop in . Also the sticky cover does not cover all the screen and some parts are left without cover.Over all ,if there are better options out there do not get this."
Black,"Case fits pretty well and looks nice, but has issues with durability. After 5 months two of the clips that hold the case on have broken off. This is in addition to the laptop being stored in a padded sleeve and carried in a padded backpack compartment. There is also noticeable signs of wear as the matte finish is starting to peel off, showing shiny hard plastic below. Initially I loved this product but now it's time to find a new one."
Rose Gold,"I did not like the case because it broke a month into purchasing it. I am a college student and always carry my laptop in my backpack. I take care of it like my baby so I would have never expected it to break. It is like a cheap plastic, very flimsy. I sadly would not recommend. As for the keyboard cover it is a little too thick for me. I don't use it because it stops me from typing fast"
Gold,"The case looks more rose gold than it does gold, the keypad thing is gold at least. The cover itself looks cheap and it keeps coming unclicked in the area where you rest your hands to type. Returning it."
Serenity Blue,"The case just delivered. The color is beautiful...and then I tried to put the case on. The keyboard cover fit fine, the bottom piece snapped on great, and then the top cover just will not work...the little tabs that should click on the hold it in place just are not big enough to work. The cover will literally not snap on. Really disappointed that I'll have to return it and keep waiting to have a cover for my laptop. :("
Rose Quartz,"The screen saver plastic is really bad.  I put it on and it is all sticky, even though I have put screen savers on many electronics in the past, including my iPad, phone, and old laptop.  It has iridescent coloring and I have asked our tech people why and they don't understand why some brand new it like this.  I am not happy with the screen saver at all.Jan & Joel Burda"
Camel,"Doesn't fit the mac well, even if my air matches the specifies. The case keeps getting off the computer on the right side while I type and rest my wrists on the computer. The fit it's not perfect so it doesn't protect the computer too well. It's beautiful, but doesn't do it's purpose."
Gold,The picture shows it as transparent showing the logo. It is not and is just sprayed painted with cheap gold paint. Buy the clear one.
Marsala Red,The outer shell started chipping on the edges within about a month of having the product. I generally only my mac within my home and it stays within a 10-12 ft radius so I was unsure of what caused the damage besides the equipment not being sturdy.
Serenity Blue,"The product looks beautiful on my MacBook Air 13 inch. My only problem is that the top piece keeps coming off. I got the case because I wanted it to protect my laptop from scratches. Instead the top piece is always popping off, no matter how many times I put it back on. The bottom piece stays on nicely, its just the top that never stays on."
Marsala Red,"Mosiso Plastic Hard Case with Keyboard Cover with Screen Protector for MacBook Air 13 Inch (Models: A1369 and A1466), Marsala Red It worked well while I had it but it lasted me only 3 months before falling off my computer.  Even the first few times I clicked it int place, it would slide around a bit.  I still have the keyboard cover but the case has completely fallen off and won't stick back on.  Kind of a waste of money long term.  I would not recommend to anyone traveling a lot with their laptop."
Black,"Does its job and is pretty secure, but the case picks up your finger prints whenever you touch it and it ends up looking like a mess. The case looks very dirty and I’ve even tried cleaning it with a little bit of dish soap and water (it got most of the fingerprints off), but you can still see some of them. It was clean for 5 seconds until I had to put it back on my MacBook and got my finger prints all over it again 🤦🏻‍♀️"
Rose Quartz,"Within a week of buying this product the tabs on the top half of the case broke off. It still stays mostly attached to the computer so I did not return it. Now, a few months later the tabs on the bottom half of the case have broken off as well, and the rest of the case is starting to chip away. I will be purchasing a new case from a different retailer."
Gray,"I have been using this case for about a month now. The front cover is already chipping and it constantly shifts around. I opened my laptop today and the front cover just popped off. I took the bottom portion of the case off after about two weeks. Anytime I opened my laptop, the top and bottom case would grind against each other. The keyboard cover works well enough but it does not lay flat against my keys."
Black,"The bottom case cover does not align with the MacBook Air 13"". It is slightly off, and so the front does not snap on. It is difficult to remove. The key board cover letters/symbols/numbers do not line up with the actually keyboard. Also, the black case is not a solid black but rather a sheer black."
Deep Teal,The base of the mosiso case fits well but the top cover which attaches to the screen does not. It falls off easily. Not sure what to do about it. Perhaps I need a replacement?
Rose Quartz,Had a hard time clicking it into place a few times. The pink color can get really dirty and it’s impossible to clean.
Airy Blue,"I received this case yesterday and was so excited to put it on my MacBook. The top fits perfectly, unfortunately the bottom is the issue. The little tabs on the left side are fine and catch on to the computer to keep it in place, but the 2 tabs on the right do not latch onto the computer at all. the right side of the case is constantly coming off. Sadly, i think I'll be sending this back."
Marsala Red,"These are very thin, cheap plastic.  The bottom part is fine, but the top part won't stay on my computer.  It only has to tiny pieces to hold it on, and they don't work at all.  It's half the thickness of the one that I had before."
Marsala Red,I cannot get the top to snap in place. The bottom is fine but I'm on my second top cover. The merchant is wonderful to work with but the cover isn't working out for me. I've had several of various covers in the past and have not encountered this before.
Royal Blue,"I personally feel like the image was very misleading. It looks like the case would be a darker blue, possibly navy. The case is actually a light blue color. The case does look very cheap in my opinion. Also, the keyboard skin does not feel great, and it’s a different color as the case itself. I wouldn’t purchase this skin if you’re looking for a dark blue, matte finished look."
Chartreuse,I ordered the correct side for my laptop but the bottom piece is super loose and constant falls off. The sides on the bottom part are extremely sharp. The keyboard covered and lid fit perfect tho and the color is beautiful.
Silver,"I've had this silver case on my MacBook for maybe 2 weeks. It shows fingerprints and markings so easily.  Already starting to look bad.  Will need to buy another case soon. I guess you get what you pay for.  Yet, the case does stay attached to my MacBook very nicely and securely."
Pink,Arrived cracked. Gave 2 stars for easy return. Quality not that great.
Mint Green,"I bought it soley for the color. The solid Mint Green. When I got it, It was a see through mint green. Hardly any color. Super disappointed about that. Very thin doesn’t seem like the greatest protection but for the price it’s pretty accurate. Definitely would suggest sticking to darker colors. Was expecting it to be brighter and solid like the picture."
Serenity Blue,"This product arrived and I was incredibly pleased with the look and color for the price. Not too long after having bought it, it has now broken. The plastic clips designed to grip the case to the computer snapped off!"
Marsala Red,"4/17: Came on time with case, keyboard cover, screen protector. Fits great and it feels good. No complaints so far. Pleased with this purchase. Thank you.Update 4/22:The top cover would pop off when I opened the laptop lid, and refused to not stay on. After a week of having to re-position and repeatedly snap it on, two of the four clips broke. $13.99 gone in 5 days."
Serenity Blue,"When it arrived, I noticed there was a piece that was already broken. I put it on to see if it wouldn’t bother me since it was small, but it still does. Will be sending back, didn’t pay for a broken case no matter how big or small. It’s still cute though, and everything else was fine"
Marsala Red,I paid more for this case than the other one we ordered from a different seller and brand on Amazon. The case broke within the first month. Disappointed for sure. You would think that the more expensive case would be better quality and last longer. Not the case at all. Not impressed.
Silver,"It feels to thick once it’s on. Which is the opposite of the computer itself. I’ve had other cases feel better. Used it two days. I don’t use it anymore because of it. Also, scratches easily."
Clear,Ugh I don't know why I thought a 20 dollar case would be a good idea.It looks DIRTY.It's clear but it looks like someone used it and then returned it.  There's scratches and weird brown marks on it like poop.This is the worst case ever don't buy it :(
