"on November 30, 2016",I am very satisfied and pleased with how it both looks and feels. So simple. Case snapped right on and the keyboard cover fit perfectly. Would not change a thing. The case came in 2 days so I was happy to have the case before I even bought my MacBook. Will probably buy a few other colors. Also screen protector was a nice touch.
"on November 13, 2016",Screen protector was easy to put on. Use a credit card to move air bubbles across the screen and you'll be good! Case fits snugly on my early 2015 Macbook Air and looks great. Love the colour!
"on August 19, 2016","I'm the type of person to research about a product for a couple days before purchasing it. I'm sure some people are the same way but I'm writing this review so the people like me don't have to do that! This is the second case I have purchase for my MacBook Air, the first one I purchased was the ibenzer brand. To compare: they are both very well made and too much alike to pick apart what's good and what's not. I would highly recommend either brands!!"
"on February 2, 2018","It is the greatest decision that I’ve ever made to purchase this hard-plastic case with an additional keyboard cover and screen protector. I was never a fan of online shopping because I prefer something I can see and touch. Furthermore, I have had a bad experience with online shopping in the past, so I was afraid that the same thing could happen again. However, it was urgent that I was in desperate need full protection to my laptop, so I decided to give another try.The package arrived earlier than I expected, which was within two days, as I thought it would take at least four to five days to arrive. I was very happy when I received it. Firstly, it was a completely new clear case, keyboard cover, and screen protector, without any damages. Although it is a clear case, you don’t have to worry about getting it dirty because it is stain resistant. Despite using it everyday for the last week, it still looks great without having to clean it. Secondly, the case fit my laptop perfectly. It is a snap on design where you can just fit it easily, and with the super light-weight design, you can just carry your laptop everywhere you want without a laptop bag.Besides, some of my friends would put an apple logo sticker on the case because they bought a hard case from a different website. I bought a colored case before buying this clear case. Therefore, with any colors of the cover, you don’t need to be afraid of the apple logo would disappear as it will still visible even when the case is on. As for the keyboard pad, it fits nicely, doesn’t slip off, and it helps to prevent dust. Most importantly, it is not rubbery, which means you can feel like you are typing without a keyboard protector. While the screen saver looks clear and nice, the only problem is that it is a little difficult to put on it because it has a close fit, and it was my first time applying a laptop screen protector. Luckily, it turned out great which has surprised me.You will be satisfied with this product because of its quality, and the seller has great customer service. The only thing you need to do before purchasing is to choose your favorite color and check your model number to make sure you have the right one. The price is reasonable and I think it is great for anyone who needs full protection to their laptop."
"on March 7, 2017","I love this laptop case and would highly recommend it to anyone who's thinking of buying it. I got it in a royal blue color and it came with a keyboard sleeve in the same color and a clear screen protector. I read the reviews of people putting their case on and it breaking so I was extra careful in putting mine on and successfully did it without any damages, so I suggest you do the same. I didn't use the keyboard sleeve they gave me because I had already had 2, so I felt no need for it. I also didn't use the screen protector that came with it because I thought I wouldn't need it and crumpled it up an threw it away, for only 3 days later to come and my charger hit my screen and it cracked (-__-) so yea if you think you don't need it, I highly HIGHLY suggest you put it on anyway especially if you don't have insurance on your laptop (like myself (-__-)). Lastly, because this product has a smooth matte finish and texture to it you will most likely get grease spots on it from your fingers. You can just clean them of with some window cleaner and paper towel and they'll go right away."
"on March 1, 2017","This is beautiful and feels great . Protection I'm not sure how well it will protect. The case is easy to install. The color is a beautiful turquoise Idk why it looks blue in the pictures.. It also came with a screen protector so that was nice!! Im pleased, would for sure buy more"
"on August 17, 2017","I absolutely LOVE this case!!! It's super easy to put on, and comes in such great colors! The price is super great as well for the quality of the cases and screen protector! I loved that it came with a screen protector for the laptop and that it was super easy to put on. Although I don't really use the keyboard cover when I know I will be doing a lot of typing, I do keep it on at all other times because it offers so much great protection. And this keyboard cover fit the letters and keyboard perfectly. If you are iffy about this product and a super indecisive person (like me) I would say that you can't go wrong with these products or color! (I got the camel one and it's the PERFECT shade). SUPER CLASSY!"
"on August 28, 2017","This is a good cover to protect against scratches and fingerprints. The screen protector was easy to install. A bottom part of it was bent a little due to the way it was packaged but you can barely tell by looking at it. The bottom cover snapped on easily. It took more effort to get the top cover on properly and to snap in place.  The case stays in place and does not slide. The keyboard cover aligns great. The first day I put the keyboard cover on it did not fit tightly and easily moved around. After closing the computer and opening it the next day, the cover now stays in place and does not move when typing. I can see the backlight through the cover. Overall I am very pleased with my purchase. I have had it for three weeks and have not had any problems. I feel it does not make the computer seem bulky. It still feels lightweight and slim."
"on January 11, 2018","This product is awesome - not only does it protect my computer (very expensive purchase) but it looks great.  Very easy installation and the package comes with everything to protect your computer.  What I liked the best is it is not designed for one size only.  I ordered this to fit my NEW Apple computer exact measurements.  Great customer service and I would recommend this company to everyone.  You will not be disappointed with this product.  I will be purchasing this again for my daughter and her new Apple.  Oh, another thought Love the keyboard protector helps me to type more accurately fingers grip keys much better."
"on January 27, 2018","The clear case gives the macbook air a nice shiny ""premium"" look and i can add/change a picture or sticker underneath it.  It snaps in easily and thin enough without adding bulk to the still rather thin MBA. There were quite some bubbles when i applied the screen saver (but it's not typically easy to apply), the bubbles i think dissipated since it's been a week now. I wold keep the outter layer on whille smoothing out the bubles as the plastic patch will leave scratch marks.  Actually the scraches seems to have dissappeared also so i'm keeping that layer on as i can still see the screen.  As for the keyboard cover, not fancy but feels crisp enough and not rubbery when typing so it's a good feel to it though plain with a frosted look. I have a translucent green case also (Ilove green) from another vendor but the clear one looks best."
