"on January 25, 2018","I've purchased Mosiso cases before, and I only have one complaint.They're so snug on your computer, it's difficult to take off to replace. I've been using the same purple one for years until it got too dirty to maintain any longer. Though the bottom case slid off with ease, the top is sticking to my computer like glue. However, I've managed to remove the case before and I know I can do it again, just with some effort.Other than that, I've had no problems with the protection of my computer. I dropped my computer on my hardwood floor once (from quite high up, too) and my computer suffered no damage using a Mosiso case. The only damage from the fall was a small chip in the side of the case, which barely affected its use. I'm not saying these cases are made to protect from falls, but I'm saying that they are good for their price and they do a good job of protecting from scratches and minor blows. I'd definitely recommend this product to those looking for a light, good-looking case."
"on February 15, 2018","I've had this case on my laptop for almost a year, and it still looks new. It was very easy to ""install"". It doesn't add a lot of bulk, and it's got a nice feel. There are two reasons why I didn't give it 5 starts though. First, the rubber stopper sticker feet don't stay on. I'm pretty sure there were extras, but who knows what I did with them? Anyway it slides around on my cheap laptop fan thingie. So I wrapped a headband around the cooling pad. It helps a little. The second thing is that I've worn holes through several of the keys on the keyboard cover. Plus it won't stay put, keeps wanting to move around. Time to replace it. Other than those kinda petty things, it's been a great purchase. Would buy again, but it looks like I won't have to for quite a while."
"on November 25, 2017","I bought one of these in a different color about a year ago and recently I dropped my MacBook and it broke.  Saved the computer....thank you!  Then I ordered this color.  For some reason it didn't fit as well.  The cover didn't snap on as easily as the one previously purchased and the keyboard cover was almost too big......So, I scheduled a return.  Sigh.  Then I got busy and the return seemed a hassle.  I received a personal email from the company asking what they could do to help me have a better experience, which was really nice and a month later, I am getting around to this review.  I gave 4 stars because of the initial fit, but now, either I am used to how it fits, or it has molded to my laptop and keyboard.  All in all, I don't think you can go wrong with this product.  Long/short, by waiting before I returned it, it seems to have fitted itself."
"on January 23, 2018","Overall I like this case and would probably give it more around a 3.5/5 stars. It looks nice and fits perfectly. The screen protector fits nicely and went on pretty easily; there were only a couple of bubbles that I couldn't get out due to a couple of specks of dust. The keyboard protector takes some getting used to because it is stickier than the regular keyboard, but I live in the dusty, sandy desert and appreciate how well it is protecting my keyboard. For such a lightweight item, it definitely does add a lot of weight to my MacBook Air. It is also pretty uncomfortable where my wrists/lower arms rest on the edge of the laptop. I feel like if I keep this case on, I will need to buy some sort of padding to put over the edges."
"on October 26, 2017","Somewhat jagged edges, as to be expected from such a cheap case, but fits remarkably well! The measurements are perfect and it doesn't move at all. I'm not a huge fan of the keyboard cover and mainly just use it to help prevent dust, bc it's VERY hard to type with. You have to press your fingers down SUPER hard. But overall I'd definitely recommend this, especially for the price! And the Carolina blue color is super beautiful!"
"on February 5, 2018","Highly Recommend! I don't usually write reviews but I just loved this case. I couldn't believe that $14 could get me a computer case, keyboard cover, and a screen protector. The keyboard cover is pretty, but when I have a lot to type up (ex. school), it can get a little bothersome so when I have a lot to do, I just take off the keyboard cover. Other than that, I do keep the cover on. The screen protector has easy installation but I don't know how effective it would be in the case that I drop my laptop. The computer case itself is such a beautiful color (I got the shade ""camel""). I thought that it would be lighter, like how the images showed, but it ended up being darker than expected. However, this color I think is far prettier and it seems as though it can handle stains. After using it for about a week, the case is still pretty clean with no noticeable marks. FYI: I carry my laptop around with me EVERYWHERE. I only didn't give it a full 5 stars because of the keyboard cover. Oh, and if you decide that you want to take the case off, it'll take some effort as it is well on."
"on July 30, 2017","It was delivered in great condition and the Deep Teal color is exactly what it looked like on the website. It came with extra feet for the bottom and everything fits properly. The top feels nice and the Apple logo still glows through it clearly. The keyboard cover is cut well, but unfortunately the letters aren't cut out so you can't really get the most out of your backlit keyboard. It took me a little bit to get used to typing with it and it sometimes sticks a little, but I think that will go away with time (and more practice). I didn't put the screen protector on it, so can't really give you any help with that. Overall, very happy with my purchase!"
"on September 26, 2017","It has a really nice and simple aesthetic to it, and is serving it's purpose nicely. I do not expect it to protect the laptop fully if it were to go down with the case on it, after all, it is only hard plastic and not really designed to protect from drop damage. However, it works well in the sense that it is protecting the outer layers of my laptop, including the screen & keyboard, which were nice additions.The only reason I have one star taken off is because the bottom piece of the case, with the base, does not seem to fit properly and fully on the laptop itself. The right side of the case towards the track pad area simply will not click and go down all the way, leaving a slightly raised lip and unhatched corner of the case. I do not think it is me doing it wrong, because I have tried multiple times to put it on correctly, and it just won't go."
"on January 3, 2018","Everything fit nicely. The keyboard cover has a nice color and it also doesn't smear and get on my fingers like my previous keyboard cover did. The quality of the case itself is appropriate for the price, which is more than enough for me as long as it provides protection. I like how the case itself is see through so that the beauty of my decals is visible but if you are not careful, the plastic of the case can break or crack easily. Only problem I had was the screen protector, which is nearly impossible to apply without getting dust or air bubbles on it; it bothered me so much that I discarded it after using it for less than a day. Don't bother with the screen protector and just buy the hard case and keyboard cover combo."
"on February 10, 2017","Had issues with speck case fitting properly, it was so overstretched it would crack in a day, last speck case lasted 3 years, so decided to try Mosiso case for my kid's air due to the good reviews.The Mosiso works well, fit on without a lot of fuss once I figured out the top orientation (so it is not undersized like speck's case).Quality though is slightly off, with some plastic flashing (excess plastic during mold process) not properly trimmed in a few spots (easily fixed with a utility knife, exacto knife, or razor, but you shouldn't have to do this.Overall fit is good, though the top cover front snaps don't always stay in position, but do hold in place.I will say that there is a lack of info on how to install this, the bottom is pretty intuitive, but the top isn't.  And the photo provided as part of the item description doesn't help with which is the front or back of the top cover."
"on January 1, 2018","good product, I like the build, materials, design & texture. The only weakness is that the sticky feet slip off eventually (maybe due to the heat of the laptop). The co. must be aware of this, as this would explain why they give extra feet! I've only been using it for roughly a month and the 2 rear feet started moving/slipping 2 weeks ago. Today one finally came off! :("
"on December 10, 2017","The case is terrific and wonderfully protective for my computer, as well as looking quite stylish. I don’t know who’s fault the delivery snafu was, I just know the order was inexplicably delayed by several days, and according to the Amazon operator,  it never arrived. It did, but my account still does not indicate that. So only four stars."
"on November 16, 2017",Pros :1) super easy to put on2) the screen protector doesnt even look like it's on now (at first i was scared it'd look ugly3) love how the bottom case has cushions and backup cushions!Cons :1) the top case will have plastice wrapped around it do not use anything sharp or dull or whatever to open it . Use your nails . I used my car keys to cut open the plastic wrap and it ended up scratching the top case . Regrets about that 😂2) the keyboard cover feels ugly i'd rather type on the actual keyboard i just dont like it . It feels ugly honestly like i just threw cheap rubber on top . And the keyboard cover is foggy it's not clear .But overall it's an alright product . I mean im not complaining that much 😂👏🏻
"on August 27, 2017","'Clicks-in-place' --- fits well like your custom-made hand gloves. It would have been much nicer (I thought) it comes in ""glossy wine red""; it's more like a 'flat or dull maroon'; the keyboard protective cover, indeed is a complete protection! I will buy other colors later. Delivery?--- FREE in under 48 hours, faster than a 747 jet! Thanks folks."
"on September 26, 2017","Love this case! It snapped on quickly and very easily and doesn't budge once its on unless you pick at it. The texture is so smooth, almost suede-like. I wasn't a fan of the keyboard cover though which is the only reason that I'm giving this product 4 stars instead of 5. It was just too thick so it made typing feel kinda weird and I made a lot of typos with it on. I personally like the clickiness of the keyboard so the soft rubber cover just wasn't for me. I'm sure it would have been fine with some getting used to though. I also haven't used the screen protector that came with it. I don't really see the point in it since it's a laptop and you close it when you're not using it... kinda protects itself."
"on November 6, 2017","RE: PLASTIC HARD CASE,  IT'S FINE. NOTHING PARTICULARLY SPECIAL BUT IT COVERS THE LAPTOP AS PICTURED AND PROTECTS AGAINST SCRATCHES. SOMETIMES THE EDGE CAN SLIP OFF THE CORNER  IF YOU DON'T PRESS IT ON  SECURELY. THE KEYBOARD COVER IS BETTER THAN I EXPECTED. IT PROTECTS THE KEYBOARD FROM DUST AND CRUMBS AND LETTERS ARE EASILY VISIBLE. ALSO, I RECEIVED IT SOONER THAN EXPECTED. THAT WAS NICE."
"on November 2, 2017",Looks just as it does in pic... it would be helpful if they included very simple instructions. Even my p1 licensed plumber boyfriend had to mess with it about 60 secs. Other than that I don’t use the keyboard protector bc you can’t truly type documents on it. The case is very very nice. It’s got a great solid feel to it. Very impressed especially for the low price tag.
"on September 7, 2017",Surprisingly this thing works pretty great. It snapped in place fairly simple. The key pad protector falls right on top of the keys with nothing sticky nonsense. The only thing that doesn't work well is the screen protector. You can't press hard on the screen to get the bubbles out. But other than that the case works great.
"on April 21, 2017","I was excited to receive this case and found that it fits my computer well. Unfortunately, the rubber dots that are supposed to be glued into the holes on the bottom of the cover were not in the holes correctly. Two of them even sit slanted in the holes. The case still sits fairly straight. The dots just make the computer off balance, and it is annoying to deal with. The package did come with an extra set of grip dots, but I did not want to completely waste a set of rubber grips, just in case they fall off later. Other than that, I have had this product for almost a month and it seems to work fine. I would purchase this product again because the grip issue doesn't prevent the case from protecting my computer, which is the reason I purchased the product in the first place."
"on December 29, 2017","The covers fit well on the top and bottom and I always like a keyboard cover for my keys. I was a bit worried that the color on the keyboard cover would come off but it's been a few months and so far so good! The only issue is since it's a darker color and the letters aren't clear, the keyboard illumination doesn't really show up - not a big deal for me but maybe for others. The top and bottom cover feel nice to the touch and I love the color but the softer material coating tends to hold fingerprints/smudges. The clips that snap on the edges of the computer are not flush/raised a bit more than I'd like but not terrible. Not using the screen protector but looks like it would fit. All in all, feels sturdy enough to protect from scratches/general wear and tear, nice color, and great for the price!"
"on May 6, 2017","The color was lovely (though a bit more saturated than it appears in this photo). I had to return it because the one I got didn't fit snugly onto my laptop--the bottom notch wasn't quite right and it kept slipping off. I probably just got one that was a little off, though, and I'm sure most of them fit just fine."
"on December 12, 2017",I  really don't know what to say.  Just received it three days ago. Haven't used the product yet.  It's part of a Christmas present for my kid. She will be the true test of its quality. I was asked to review it so I did the best with what I know so far.  I will try to update after Christmas when she gets a chance to use it.
"on December 11, 2016","I love this stylish product!  Very simple to attach to keep my (3rd) Mac as scratch free as possible.  I'm not giving the full 5 star rating only because the keyboard is more difficult for me to type quickly on than the naked keys.  But that is just my experience. I do use the key cover, however, every time I put my computer away as a protective cover.  I would definitely buy this product again, and just might in different colors for the fun of it! :)Received the product in record time - very pleased with the seller."
