"on December 21, 2017",This thing is total junk.  Don't buy it... the paint quality is terrible... the plastic is super thin... and the protective film for the screen is low quality and caused all kinds of bubbles that wouldn't go away.  I would not recommend this product.  I was so upset with this I threw it in the trash and went and bought a Speck.
"on December 31, 2017","This plastic thing fits together, but you can’t open the display all the way up.  Yes, it fits, but it is uncomfortable to use because the front lip is much higher than the computer itself and scratchs my wrists while typing.  It looks okay, but the design is crap.  The keyboard cover works okay.  Forget about the display film.  That was impossible to put on without bubbles forming under and I used to install large vinyl signs, so forget about it.  The screen film is also not cut correctly to actually fit the monitor properly.  This is another crap product on the king of crap products...  Amazon"
"on January 26, 2018","I'm really frustrated with the quality of this case. I recently purchased my very own MacBook from money that I made at an after school job, and i was so excited to get all the accessories that come with it, and I ordered this case against my better judgement because everyone else seemed to like it in the reviews -- big mistake. Granted, I only paid about $13 for the case, but I still expected that the case would stay on my MacBook Air for more than a day. After snapping my MacBook into the case and zipping it into a sleeve, I took it to school so that I would be able to work on my laptop throughout the day. When I got to my first period, I opened my bag and one of the hinges that attaches the case to my MacBook had already come off! I was very gentle with the MacBook and even took the care to zip it into a protective sleeve and still, the case lasted less than a day. Perhaps I got a faulty case, but I am overall very upset with the case and the company."
"on January 23, 2018","I was looking forward to this. It fits well and looks great. The keyboard cover is also good. However, to my dismay, it is starting to crack off from a side. After reading all the positive reviews, I am thinking this is a freak accident...but definitely a bummer. I will be returning it soon. It’s too bad because I love the color and the feel of the product :("
"on February 26, 2017","I purchased two cases at the same time. This Mosiso case in rose, and an iDOO case in a marble textured color. These were both for my MacBook air purchased in 2017. The iDOO case fits perfectly and is beyond what I expected, but this rose colored case was more expensive, does not fit properly as advertised, has no option for returns, and the seller will not answer me on how I can return their faulty product for my money back."
"on October 4, 2017","I'm kind of disappointed in the case, after reading so many good reviews I purchased. I've only had it for 2 months this and it has already Brock and cracked, not sure if mine was just defective or not. Where the two pieces meet when you shut your laptop mine would hit and one side broke off, it has cracked in three places. I'm not rough at all with my laptop because I'm afraid I'd break the air. Hopefully mine was just a bad one."
"on February 2, 2018","Bought this as a temperary case until I could find a nice one. I've had it around a week and at first I liked the look and how it felt. The plastic screen protector seems fine, as does the keyboard cover. My issue is the bottom half of the case doesn't stay on correctly, it has clips on three sides, but the back doesn't have any. The back corners are always pulling off therefore letting the case slide off. It literally does not stay on and my computer doesn't sit right because of it. Terribly cheap case but I guess you get what you pay for. 10/10 would never buy again."
"on September 17, 2017",This case is NOT what they advertise. The case does not fit onto a MacBook and has no lip to hold onto a laptop. It is just a flat piece of plastic that falls right off of the laptop when you attempt to put it on. I have never been so disappointed in a laptop case and I can't believe they actually sell this to people. It is impossible to put on a laptop and I am very disappointed. DO NOT RECOMMEND! Waste of money.
"on February 25, 2017","The color is more pink then ""rose gold"" doesn't match my phone in rose gold. I put it on my laptop and was a little concerned that it didn't click on. Didn't really seem like a good fit. I picked it up to move it and when I set it down (very gently, how I usually handle my laptop) and it cracked about a 2-inch piece off from itself. The bottom pads are very cheap too. They were falling off and getting so dirty right away. It was more like a foam than a piece of rubber. I requested an exchange for a different color and hoping it was just that one that would crack and was told to take pictures and send. I got very busy at work and a couple weeks later I tried to upload my pictures to get my exchange and the seller closed out my return. It would have been nice to get an email or something or notice saying you only have a certain amount of time to process the exchange. Won't be buying from this seller again."
"on January 1, 2018","Only after weeks the surface for the case was all scratches up and it had spots where the paint had been erased. It looks old and used up only after weeks of use. Even with a protective pack the case got all scratched up. The screen protector never went on the laptop because it was very very hard to place. The apple logo is very hard to see through the case (just thought i should mentions it but it isn't a problem for me) On the other hand, the case fits very well and its been protecting the actual laptop. Overall, Completely unsatisfied and hate this product."
