"on February 6, 2018","I purchased this a while ago and just came around to applying the pieces. There were no instructions with the product. Yes, it's easy to figure out but it still seems that instructions should be a basic component of any product. The color is true to the picture. The case feels silken and just needed to be snapped on. The keyboard cover is silicone, I gather, and feels silken, too. It doesn't have an adhesive surface which is good and bad. Good because it doesn't ruin the actual keyboard and easy to remove. Bad because it's always slightly warped in one corner (for me it's the right lower corner: from backward slash down to arrows). The typing seems slightly hindered as if buttons need to be depressed harder but that may just be a getting used issue. The screen cover is a bit of a pain because applying it without bubbles is a trick task....it cannot happen. So, I capitulated to having bubbles. I should mention that the laptop is noticeably heavier after applying everything. For the price, it seems ok enough for now. Will update review after a while of using the case and cover."
"on November 25, 2017","The case snaps onto the computer (a little tricky to get on) but then it really stays on. The issue with my last shell case was that the snaps broke and it wouldn't stay on, but this one seems like it will last a long time. The keyboard cover fits perfectly so there aren't any little bumps. I have not used the screen protector, but it is nicely packaged and has a dust-free cleaning cloth with it. A great purchase! My one qualm is that the case really absorbs oil, so if your fingers are oily and you touch the case it leaves marks. But you start to not notice it after a while.EDIT: After about four months of use (I'm never too rough with my computer) the bottom piece broke. It was just the little snaps that keep the case on, but since the two at the back broke the case now slides forward off the computer. The top part still is functional. The same thing happened to the last snap on hard plastic case and this might just be a flaw of the design. The snap pieces are really tiny and easily broken. Another type of case is probably a better use of your money."
"on February 7, 2017","I'm not so crazy about the fact that it really covers the Apple logo, the keyboard pad you place on the keyboard doesn't seem very sturdy and moved around a lot when typing (not sure if that's suppose to happen?) It doesn't fit my keyboard the snug. I ordered the ""quarts rose"" which is pretty much a pink, cute color. I assume it does protect and does it's job, very easy to take on and off my MacBook Air."
"on October 1, 2017","I was in desperate need of a new hard case for my MacBook air - my other one was cracked. I really like this one - the color is a soft blush pink, which I love. The only bummer is that after a few months, the keyboard cover is driving me INSANE - it bubbles up in the middle of it. I use the cover to help keep one of my loose keys in place but the cover is so annoying that I'm going to get the key replaced ASAP so I can do without the keyboard cover."
"on December 1, 2016",This is a nice plastic case and I live the color! The keyboard cover is super cute!!! Nice quality for the price although the screen protecter for mine isn't great. The 2nd sticker that is supposed to be removed was a stubborn sticker and the excess is stuck on the corner of my screen. It also came with a card to help with air bubbles and it scratched my screen protecter super quick with not a lot of pressure. The case is great and so is the keyboard cover just disappointed in the screen protecter. Wondering if i can get there screen protecter replaced for free but not so sure.
"on February 8, 2017","The case works great but unfortunately, the key cover I received had a tear in it. It's still usable but that was a little disappointing. The screen protector works great and was easy to apply but it adds a bit of a glare if you're working outside on your laptop so I'll probably switch it out. For the price, I'd recommend this just because the case snaps on snug and keeps my computer clean, but those added bonuses are a bit cheap."
"on February 11, 2018","I bought this to cover and protect the outside of the actual computer, but surprisingly I really love the keyboard cover best. The actual cover that goes over the computer falls off often, so not sure if I’ll be be keeping it. The actual plastic case snaps in nicely and it seems ok for a short while, then when I open the computer it pops off."
"on December 31, 2016","I received the case this morning-- I ordered mine in Frost Clear. I expected my keyboard cover to come in the white color, as shown in the picture. However, it came with a very thin clear plastic keyboard cover instead. It is not the usual silicone keyboard cover that most companies make-- it feels very cheap. I am not sure if this was accidentally included in my order, or if the picture was just misleading. Additionally, the case came with a distinct black streak in the bottom corner of the top piece- I tried cleaning it off with no luck. Having a black streak in a clear case seems to defeat the effect I was going for. This is not my first purchase from Mosiso- I previously had their case in Rose Quartz. I was unpleasantly surprised when opening my second order after noting these issues, however, cannot complain too much because it's a decent price."
"on August 9, 2017","It's a nice case, it fits perfectly and the color was exactly what I was expecting. The only problem I'm having with this case is that it weighs down my lap top ALOT. I'm not sure why this piece of plastic adds so much weight, but if I'm holding my laptop and walking it makes my screen open all the way backwards. It also makes it feel a lot heavier in my hands. I'll probably end up switching out this case for a laptop skin, just so it won't be so weighed down."
"on August 11, 2017","I really wanted to like this case but I am unable to get over the ""fit"" of the cover. The case's color was great as well as the texture, and although some have said the case adds a noticeable weight to the MacBook, to me it's negligible. However, the means of securing the case to the laptop itself need improving. The lid portion has only 5 attachment tabs that run along the horizontal axis. When opening the laptop the case has a tendency of popping off due to the tabs not securely keeping it in place. This applies to the lower portion as well. The tabs that run along the bottom of the keyboard, where the wrists rest, will pop off while typing. I'm hoping this was a defect in the mold and has been corrected. If the case stayed on I'd give it 5 stars."
"on February 4, 2017","I got the lap top case in rose quartz, and I love it! It's a pale, light pink and it's unobtrusive while also giving my computer some character. The keyboard cover is great--it fits the keyboard perfectly, not too big not too small. I haven't used the screen protector, so I have no comment about that. I really the texture of the case, which is a kind of velvety feel compared to other hard shell laptop covers. UPDATING A FEW MONTHS LATER: the quality is very poor. The tabs holding the case onto the laptop have broken, so the case no longer attaches to the computer, rending it useless :/ I just had to throw it away. Given the price, I guess you get what you pay for! Still a reasonable purchase though"
"on April 8, 2017","Very true to color. When you first get it it seems a little to light but after getting it on it looks better. The only thing is immediately after taking it out of the box there was a chipped peice missing off the bottom and a 1inch crack connecting to it. The box was in perfect condition with no indication of it having been dropped or mistreated. I was super excited to get the case so when I realized I order the wrong size I was devastated. I was looking through so many options that when I finally decided on this one after the like 50th time, I forgot to recheck the size. So always check! Because of the crack I would have had to return it anyway, even if I had gotten the right size. That was pretty disappointing."
"on March 28, 2017","It is a very cheap case that works ok for the price.  Both the upper and lower case pop off easily, and I must be careful carrying, for fear of the macbook falling out of the case.For being very cheap and fulfilling the necessities: buenoFor being in fear of it falling off: no buenoIt's your decision if the trade off is worth it for you."
"on March 13, 2017","Clear case fits a macbook air pefectly. They keyboard cover doesn't lay flat and makes the keys feel mushy. I won't be using it. The screen protector went onto a brand new screen and was rife with bubbles that could not be removed. I'm no stranger to screen protectors and this was just awful. It was difficult to remove the screen protector once I decided I hated it. Furthermore, there were no instructions."
"on November 21, 2017","When I first got this I was attracted by the color and the price. It was true to color and easy to place on my Mac. However as time progressed I could tell why it was so cheap the bottom clasp broke off and the bottom stickers came off with a simple tap. To add on to the fact the case got really dirty in about two weeks and it was in a white case carrier so there was no excuse. Thankfully I was just using this until I finally got my Apple case, but if you’re wanting this for long term it’s only going to last for about 3 months until you have to buy a new one. In short while it does come with some nice additional perks it’s best if you just go buy a legit one."
"on February 17, 2017","Okay so I was pretty excited for this case but when I got it, it came with NO KEYBOARD COVER and that's what I was really waiting for because I really don't want my keys to get dirty and it didn't even come with one when it's supposed to. I contacted the seller about it and I still haven't heard from them (it's been a week). also its pretty black in the description picture but it's not really like that at all in reality; It's like a dusty black/dark greyish color and if you touch your computer a lot with your hands you can see the print marks on the case. Overall I hate to say it, but this case was a major disappointment, I think you can definitely find a better case on here for the same price if not cheaper."
"on June 25, 2017","Unfortunately, this case did not meet the same quality standards for me as it did for other reviewers. I bought based on other reviews but came away  disappointed. Yes, you get what you pay for...and next time I will pay more for a better product.The keyboard protector was sticky and made typing on it uncomfortable. I am no longer using it. The screen protector had air bubbles, even after I used the included tool to wipe them away. I ended up throwing that out too.The top case has stayed on but sometimes the bottom case falls off, even though it is snapped on."
"on January 5, 2017","It's definately not the best thing you can buy but it'll get the job done. My biggest complaint is that it fits great on top but on the bottom it's just slightly loose, like just enough to drive you mad if you're really OCD about things like that. I think it's probably more that there's no hook or attachment on the screen side so there's nothing really stopping it from moving. That being said I tied string around the bottom case and the hinge to keep it from moving and it works just fine now.Essentially this is a middle of the road case, if you want a cheap case this is fine. I do love the color it's light enough to not be in you're face but it still looks nice.Also just a side note: If you plan on putting decals on your computer under the case they're not going to be seen properly unless it's like black because it's a matte case and not a clear one."
"on May 7, 2017","I was so pleased with the case and the keyboard cover, it helps so much! The case itself has a nice feel but is super think plastic. After 3 months, the case had one of the corners chip off for no reason. I'll spend the extra cash next time"
"on October 7, 2017","The case is perfect. The keyboard cover smelled funny for a week, may be smell of paint and rubber. Screen gaurd is small. It can be a little bit bigger. The case perfectly protects Mac and It looks so good.But the case I received is a little damaged. In the bottom case one side is damaged may be in shipping. But kept the case because I don’t want to keep my Mac unprotected any longer."
"on October 22, 2017","One of the clips over the edge on the right side is sharp, like razor sharp. I filed it down a little, but feel like I shouldn't have to. Bottom has a small crack in it and white little feet have all fallen off, I substituted felt furniture tabs."
"on December 15, 2017","Bottom case doesn't fit very well at all, and I couldn't get the screen cover on to save my life. The keyboard cover is also a bit awkward until you get used to it. It is, however, very cute, so I still use it. Not a great buy, though. I would move on."
"on September 25, 2017","I liked how well this cover is compared to some of the other brands on here. My previous cover was for my Macbook Pro 2012 in which the other brand's cover damaged my computer. I was hesitant to get another case since then but I'm glad I got this one. There are no damages to my computer so far and I'm glad they gave me a screen protector and a keyboard case.However, I gave this product 3 stars because the case is already damages and I bought it about 10 days ago. It would be nice to speak to a representative about this because it is a plastic cover so it is prone to break easily."
"on January 18, 2018","I recently bought a black cover for my MacBook Air and the quality was nice. At first I liked the feel of it but after a couple hours of usage I noticed a lot of fingerprints. That was the big issue for me. It’s not very easy to clean and I saw that many other customers dealt with the same issue. After my first order, I decided to try out the clear hard plastic case. I love this new case but I bumped the rating down to three stars because of my previous bad experience with the black case."
"on July 26, 2017","It would be better to buy another bundle or just the case. The case is great, great color, easy to put on (just follow the instructions and like common sense) but the other elements that come with are not great. The screen protector is too small and the keyboard cover is just not right for the MacBook air. I don't recommend it, but it's not that bad. The colors are nice and the feel is good."
"on September 27, 2017","This is just okay.  The top doesn't stay on at all.  The bottom does and I like that it helps ventilate the computer while I'm working. It's kinda hard to get use to the covered keyboard cause it doesn't fit tight, so you never press some keys."
"on October 11, 2017","Was a good case for about 6 months, then the plastic clips that keep the case attached began to crack.I don't really throw my computer around, but its possible that it cracked while being transported in my laptop bag."
"on June 13, 2017","I like the case, but the keyboard cover should be made differently, it feels weird even having it on, so I just take it off.. it would be super cute If I could have it on, but it doesn't fit completely on the keys or something, so I have to press firmly to even type.."
"on February 1, 2018","The plastic hard case gets scratched very easily. And I recieved mine with one or two scratches with it on already. I bought a new book bag with very good padding for my laptop and whenever I take it out the bag it has scratches on the plastic hard case. And also another thing when I recieved the item, the keyboard protector lettering was coming off already on some of the keys. But I’m still going to use it cause I don’t want my laptop getting scratched but it seems very cheap. But you get what you pay for."
